11227809,1
11227809,2
11227809,3
11227809,4
11227809,5
40480,1
40480,7
40480,8
40480,9
40480,10
6841333,1
6841333,12
6841333,13
309424,1
309424,15
309424,16
309424,17
309424,18
271526,1
271526,20
271526,21
40471,1
40471,23
40471,24
40471,25
363681,1
363681,27
363681,28
157944,1
157944,30
157944,31
157944,32
13375357,1
13375357,34
13375357,35
46898,1
46898,37
46898,23
46898,39
8881291,1
8881291,15
8881291,42
8881291,43
8881291,44
8710619,1
8710619,46
8710619,47
8710619,48
8710619,49
1066589,1
1066589,51
1066589,24
1066589,39
6470651,1
6470651,55
6470651,56
215497,1
215497,58
215497,59
215497,60
215497,61
322715,1
322715,31
322715,23
322715,65
5585779,1
5585779,15
5585779,32
5585779,28
285793,1
285793,71
285793,72
1005073,1
1005073,23
1005073,31
1005073,76
34571,1
34571,78
34571,79
34571,80
21947452,1
21947452,3
21947452,51
21947452,84
21947452,85
574594,1
574594,87
574594,88
574594,89
574594,90
6343166,1
6343166,34
6343166,93
6343166,94
1128723,1
1128723,30
65035,1
65035,98
65035,99
65035,100
285177,1
285177,102
6827752,1
6827752,104
6827752,105
6827752,106
6827752,107
37628,1
37628,109
37628,110
1200621,1
1200621,30
409784,1
409784,30
409784,115
409784,116
3295496,1
3295496,118
3295496,107
3295496,120
3295496,121
604424,1
604424,123
541487,1
541487,125
541487,126
541487,127
541487,128
156503,1
156503,130
156503,79
156503,132
156503,133
1750435,1
1750435,123
997482,1
997482,7
997482,138
997482,139
997482,140
2793150,1
2793150,142
2793150,143
2793150,144
2793150,145
70324,1
70324,147
70324,148
886955,1
886955,51
886955,151
41107,1
41107,15
41107,27
41107,155
3481828,1
3481828,15
3481828,158
18093928,1
18093928,160
18093928,161
15182496,1
15182496,15
15182496,27
109383,1
109383,166
109383,37
109383,23
1568091,1
1568091,170
1568091,171
1568091,172
1568091,173
326390,1
326390,15
326390,176
326390,177
326390,16
3177733,1
3177733,180
3177733,181
355089,1
355089,183
355089,184
10382929,1
10382929,186
10382929,187
10382929,188
1149703,1
1149703,190
1149703,116
85190,1
85190,193
85190,194
6802483,1
6802483,37
6802483,23
6802483,76
4955635,1
4955635,200
4955635,201
4955635,202
4955635,203
910374,1
910374,205
910374,206
8845186,1
8845186,208
8845186,209
8845186,210
2950319,1
2950319,20
2950319,21
295579,1
295579,215
295579,216
295579,217
